,inning,over,ball,total_runs,player_dismissed,batsman cluster,bowler cluster,batting_team_Chennai Super Kings,batting_team_Delhi Capitals,batting_team_Kings XI Punjab,batting_team_Kolkata Knight Riders,batting_team_Mumbai Indians,batting_team_Rajasthan Royals,batting_team_Royal Challengers Bangalore,batting_team_Sunrisers Hyderabad,bowling_team_Chennai Super Kings,bowling_team_Delhi Capitals,bowling_team_Kings XI Punjab,bowling_team_Kolkata Knight Riders,bowling_team_Mumbai Indians,bowling_team_Rajasthan Royals,bowling_team_Royal Challengers Bangalore,bowling_team_Sunrisers Hyderabad
215,2,15,2,1,0,12.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
216,2,15,3,0,0,7.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
217,2,15,4,0,0,7.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
218,2,15,5,1,0,7.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
219,2,15,6,6,0,12.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
220,2,16,1,0,0,7.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
221,2,16,2,6,0,7.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
222,2,16,3,1,0,7.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
223,2,16,4,0,0,12.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
224,2,16,5,4,0,12.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
225,2,16,6,1,0,12.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
226,2,17,1,1,0,12.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
227,2,17,2,1,0,7.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
228,2,17,3,0,0,12.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
229,2,17,4,1,0,12.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
230,2,17,5,0,1,7.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
231,2,17,6,0,0,4.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
232,2,18,1,2,0,12.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
233,2,18,2,0,0,12.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
234,2,18,3,0,1,12.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
235,2,18,4,0,1,4.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
236,2,18,5,0,0,13.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
237,2,18,6,0,0,13.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
238,2,19,1,1,0,10.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
239,2,19,2,0,0,13.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
240,2,19,3,1,0,13.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
241,2,19,4,6,0,10.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
242,2,19,5,0,1,10.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
243,2,19,6,1,0,13.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
244,2,20,1,0,0,13.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
245,2,20,2,1,0,13.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
