,Player,Batting Average,Batting Strike Rate,Bowling Average,Bowling Economy Rate,Bowling Strike Rate,Team
80,IS Sodhi,3.5,35.6,21.875,7.6,19.15,Rajasthan Royals
81,Imran Tahir,1.6666666666666667,57.14000000000001,25.166666666666668,8.133333333333335,18.2,Chennai Super Kings
82,Iqbal Abdulla,0.0,104.225,31.5,9.76,20.0,Royal Challengers Bangalore
83,Ishan Kishan,19.869999999999997,125.225,0.0,0.0,0.0,Mumbai Indians
84,J Suchith,3.0,20.0,7.0,11.25,6.0,Delhi Capitals
85,J Yadav,1.0,20.0,37.5,7.163333333333333,31.0,Mumbai Indians
86,JC Archer,18.25,119.46000000000001,24.055,7.56,19.45,Rajasthan Royals
87,JC Buttler,36.012499999999996,149.7975,0.0,0.0,0.0,Rajasthan Royals
88,JD Unadkat,4.416666666666667,54.089999999999996,27.99333333333333,12.213333333333333,16.599999999999998,Rajasthan Royals
89,JJ Bumrah,8.5,74.23750000000001,23.115,7.18,19.25,Mumbai Indians
90,JJ Roy,30.0,127.65,0.0,0.0,0.0,Delhi Capitals
91,JL Denly,0.0,0.0,0.0,0.0,0.0,Kolkata Knight Riders
92,JM Bairstow,55.62,157.24,0.0,0.0,0.0,Sunrisers Hyderabad
93,JO Holder,5.5,115.78,51.5,7.92,39.0,Kolkata Knight Riders
94,JP Behrendorff,0.0,0.0,33.0,8.68,22.8,Mumbai Indians
95,JP Duminy,37.1,106.215,13.75,9.925,10.5,Mumbai Indians
96,JPR Scantlebury-Searles,8.0,133.33,44.5,12.71,21.0,Kolkata Knight Riders
97,JW Hastings,0.0,0.0,18.5,5.55,20.0,Kolkata Knight Riders
98,K Gowtham,10.0,145.8,97.18,8.05,70.9,Rajasthan Royals
99,K Khejroliya,0.0,0.0,49.75,9.535,31.25,Royal Challengers Bangalore
100,K Rabada,11.495,89.63,23.025,8.315000000000001,16.25,Delhi Capitals
101,KA Pollard,27.3375,143.245,0.0,7.465,0.0,Mumbai Indians
102,KC Cariappa,4.666666666666667,148.91666666666666,28.25,11.603333333333333,18.833333333333332,Kolkata Knight Riders
103,KD Karthik,40.71,147.005,0.0,0.0,0.0,Kolkata Knight Riders
104,KH Pandya,28.41,148.5225,29.549999999999997,7.1850000000000005,24.525,Mumbai Indians
105,KJ Abbott,13.0,162.5,88.5,11.06,48.0,Kings XI Punjab
106,KK Ahmed,0.0,0.0,7.55,10.445,5.5,Sunrisers Hyderabad
107,KK Nair,21.8475,116.0125,0.0,0.0,0.0,Kings XI Punjab
108,KL Rahul,50.973333333333336,146.76,0.0,0.0,0.0,Royal Challengers Bangalore
109,KM Asif,0.0,0.0,25.0,12.5,12.0,Chennai Super Kings
110,KM Jadhav,10.0625,119.9325,0.0,0.0,0.0,Chennai Super Kings
111,KMA Paul,3.6,75.0,26.33,8.72,18.1,Delhi Capitals
112,KS Williamson,34.525,128.885,0.0,1.75,0.0,Sunrisers Hyderabad
113,KV Sharma,2.04,59.8775,17.927500000000002,9.6075,11.325,Chennai Super Kings
114,KW Richardson,0.0,100.0,19.42,9.71,12.0,Royal Challengers Bangalore
115,Kuldeep Yadav,7.0,72.725,35.2675,8.355,25.025,Kolkata Knight Riders
116,L Ngidi,0.0,0.0,14.18,6.0,14.1,Chennai Super Kings
117,LE Plunkett,1.0,33.33,56.25,9.0,37.5,Delhi Capitals
118,LH Ferguson,0.0,0.0,91.5,10.76,51.0,Kolkata Knight Riders
119,LMP Simmons,13.785,111.16,0.0,0.0,0.0,Mumbai Indians
120,LS Livingstone,23.33,145.83,0.0,13.0,0.0,Rajasthan Royals
121,M Ashwin,2.0,55.0,34.33,7.535,27.4,Royal Challengers Bangalore
122,M Markande,8.25,103.75,41.765,9.094999999999999,26.8,Mumbai Indians
123,M Morkel,0.0,100.0,29.7,8.36,21.3,Kolkata Knight Riders
124,M Prasidh Krishna,0.0,10.0,60.125,9.309999999999999,38.65,Kolkata Knight Riders
125,M Vijay,26.28,116.45333333333333,0.0,2.6666666666666665,0.0,Chennai Super Kings
126,M Vohra,20.73,127.98,0.0,0.0,0.0,Royal Challengers Bangalore
127,MA Agarwal,15.51,125.84333333333332,0.0,0.0,0.0,Kings XI Punjab
128,MA Wood,1.0,33.33,0.0,12.25,0.0,Chennai Super Kings
129,MC Henriques,30.659999999999997,125.815,141.29,9.155000000000001,85.0,Sunrisers Hyderabad
130,MG Johnson,0.8333333333333334,99.60000000000001,60.379999999999995,8.986666666666666,37.699999999999996,Mumbai Indians
131,MJ Guptill,22.666666666666668,135.48666666666668,0.0,0.0,0.0,Sunrisers Hyderabad
132,MJ Henry,0.0,0.0,71.0,14.2,30.0,Kings XI Punjab
