,Player,Batting Average,Batting Strike Rate,Bowling Average,Bowling Economy Rate,Bowling Strike Rate,Team,Batting Cluster,Bowling Cluster
0,A Ashish Reddy,23.5,162.06,39.0,10.17,23.0,Sunrisers Hyderabad,3,7
1,A Choudhary,25.0,125.0,28.8,8.55,20.2,Royal Challengers Bangalore,12,0
2,A Dananjaya,0.0,80.0,0.0,11.75,0.0,Mumbai Indians,10,1
3,A Mishra,15.375,65.075,26.825,7.545,21.2,Delhi Capitals,10,0
4,A Nehra,0.0,50.0,23.365,8.475000000000001,16.55,Sunrisers Hyderabad,4,6
5,AB de Villiers,44.3425,157.45999999999995,0.0,0.0,0.0,Royal Challengers Bangalore,14,4
6,AD Hales,24.66,125.42,0.0,0.0,0.0,Sunrisers Hyderabad,12,4
7,AD Mathews,16.0,118.51,0.0,11.2,0.0,Delhi Capitals,12,1
8,AD Nath,10.6,88.12,0.0,0.0,0.0,Royal Challengers Bangalore,6,4
9,AD Russell,37.41,184.83666666666667,24.263333333333332,8.953333333333333,16.133333333333333,Kolkata Knight Riders,3,6
10,AF Milne,1.75,29.165,43.83,10.16,26.0,Royal Challengers Bangalore,13,7
11,AJ Finch,16.75,134.0,0.0,0.0,0.0,Kings XI Punjab,7,4
12,AJ Turner,1.0,30.0,0.0,0.0,0.0,Rajasthan Royals,13,4
13,AJ Tye,2.665,42.105,48.16,9.295,29.0,Kings XI Punjab,4,10
14,AM Rahane,30.605,128.04999999999998,0.0,0.0,0.0,Rajasthan Royals,0,4
15,AP Tare,5.0,65.795,0.0,0.0,0.0,Sunrisers Hyderabad,10,4
16,AR Bawne,0.0,100.0,0.0,0.0,0.0,Delhi Capitals,2,4
17,AR Patel,18.97,131.3025,40.7575,7.79,30.950000000000006,Delhi Capitals,7,7
18,AS Joseph,0.0,115.38,14.5,10.03,8.6,Mumbai Indians,8,9
19,AS Rajpoot,1.915,29.5625,32.584999999999994,8.64,22.3,Kolkata Knight Riders,13,11
20,AS Roy,0.0,0.0,11.0,5.5,12.0,Mumbai Indians,1,9
21,AT Rayudu,28.765,119.9025,0.0,0.0,0.0,Chennai Super Kings,0,4
22,Abhishek Sharma,33.75,145.45,10.5,5.25,6.0,Sunrisers Hyderabad,14,12
23,Ankit Sharma,0.0,0.0,0.0,11.0,0.0,Rajasthan Royals,1,1
24,Anureet Singh,5.0,66.66666666666667,14.0,10.22,8.0,Rajasthan Royals,10,9
25,Arshdeep Singh,0.0,0.0,36.33,10.9,20.0,Kings XI Punjab,1,11
26,Avesh Khan,0.0,44.44333333333334,24.66666666666667,8.826666666666666,17.5,Delhi Capitals,4,6
27,B Kumar,5.415,100.9125,27.57,7.4849999999999985,21.775,Sunrisers Hyderabad,2,0
28,B Laughlin,1.0,25.0,23.44,10.12,13.8,Rajasthan Royals,13,14
29,B Stanlake,0.0,125.0,30.5,8.434999999999999,21.6,Sunrisers Hyderabad,8,0
30,BA Stokes,18.415,122.985,34.685,9.7,22.25,Rajasthan Royals,12,11
31,BB McCullum,21.16,144.31,0.0,0.0,0.0,Royal Challengers Bangalore,7,4
32,BB Sran,0.75,60.7125,21.6875,11.4975,13.55,Sunrisers Hyderabad,10,14
33,BCJ Cutting,22.75,164.67749999999995,62.5,10.0625,38.1,Sunrisers Hyderabad,3,3
34,Basil Thampi,1.5,75.0,11.4,10.185,6.1,Sunrisers Hyderabad,10,12
35,Bipul Sharma,28.25,166.57999999999996,41.665,8.265,30.3,Sunrisers Hyderabad,3,7
36,C Munro,14.533333333333333,124.55,0.0,2.5,0.0,Delhi Capitals,12,4
37,C de Grandhomme,19.093333333333334,128.92333333333332,32.75,9.343333333333334,23.0,Royal Challengers Bangalore,12,11
38,CA Ingram,18.4,119.48,0.0,0.0,0.0,Delhi Capitals,12,4
39,CA Lynn,34.51,141.1225,0.0,0.0,0.0,Kolkata Knight Riders,14,4
40,CH Gayle,31.6575,143.41250000000005,7.875,1.575,7.5,Royal Challengers Bangalore,14,12
41,CH Morris,36.78250000000001,151.5275,28.72,8.555,19.75,Delhi Capitals,14,0
42,CJ Anderson,12.97,96.355,50.165,11.565,27.450000000000006,Royal Challengers Bangalore,2,10
43,CJ Dala,0.0,0.0,0.0,11.33,0.0,Delhi Capitals,1,1
44,CJ Jordan,1.0,25.0,10.816666666666668,8.653333333333334,7.066666666666666,Sunrisers Hyderabad,13,12
45,CR Brathwaite,12.5825,141.1675,28.2,9.5525,17.0,Sunrisers Hyderabad,11,0
46,CR Woakes,10.0,93.67,23.225,9.565,14.6,Royal Challengers Bangalore,2,14
47,CV Varun,0.0,0.0,35.0,11.66,18.0,Kings XI Punjab,1,0
48,D Wiese,0.0,125.0,0.0,12.25,0.0,Royal Challengers Bangalore,8,1
49,DA Miller,26.845,118.035,0.0,0.0,0.0,Kings XI Punjab,12,4
50,DA Warner,62.68000000000001,145.6966666666667,0.0,0.0,0.0,Sunrisers Hyderabad,9,4
51,DJ Bravo,25.625,138.075,34.035,8.985,22.65,Chennai Super Kings,7,11
52,DJ Hooda,17.1725,119.495,18.5825,9.115,12.5,Sunrisers Hyderabad,12,14
53,DJ Willey,0.0,0.0,47.5,9.5,30.0,Chennai Super Kings,1,10
54,DJM Short,16.42,116.16,19.0,6.33,18.0,Rajasthan Royals,12,6
55,DL Chahar,10.08,125.09,24.85,7.375,20.2,Chennai Super Kings,8,6
56,DM Bravo,0.0,120.0,0.0,0.0,0.0,Kolkata Knight Riders,8,4
57,DR Shorey,6.5,75.69,0.0,0.0,0.0,Chennai Super Kings,10,4
58,DS Kulkarni,3.0,126.185,51.415,9.52,32.35,Rajasthan Royals,8,10
59,DT Christian,13.0,78.78,25.25,8.53,17.7,Delhi Capitals,6,6
60,DW Steyn,0.0,0.0,17.25,8.62,12.0,Royal Challengers Bangalore,1,9
61,E Lewis,22.69,115.35,0.0,0.0,0.0,Mumbai Indians,12,4
62,EJG Morgan,20.425,110.985,0.0,0.0,0.0,Sunrisers Hyderabad,12,4
63,F Behardien,7.0,107.69,0.0,0.0,0.0,Kings XI Punjab,2,4
